region,country,Number of Users,streams
North America,Canada,7,81098018 
North America,Costa Rica,7,13832874 
North America,Dominican Republic,7,6379313 
North America,El Salvador,7,7230796
North America,Guatemala,7,15430655 
North America,Honduras,7,6457275 
North America,Mexico,7,250228761 
North America,Nicaragua,7,2956588 
North America,Panama,7,5971338 
North America,USA,7,624010649 
Eastern Europe,Austria,7,113119306 
Eastern Europe,Bulgaria,7,1638651 
Eastern Europe,Czech Republic,7,12175636 
Eastern Europe,Estonia,7,2248743 
Eastern Europe,Greece,7,9116605 
Eastern Europe,Hungary,7,8301605 
Eastern Europe,Latvia,7,1766590 
Eastern Europe,Lithuania,7,2217037 
Eastern Europe,Luxembourg,7,545731 
Eastern Europe,Poland,7,40351152 
Eastern Europe,Slovakia,7,3625872 
Eastern Europe,Romania,7,4662581 
Eastern Europe,Russia,7,19170333 
Eastern Europe,Ukraine,7,3925847 
