date,region,Avg Acousticness,Avg Danceability,Avg Energy,Avg Liveness,Avg Mode,Avg Speechiness,Avg Valence
2013-04-28,North America,0.85,0.74,0.65,0.53,0.35,0.2,0.1
2014-04-11,North America,0.87,0.67,0.70,0.46,0.42,0.17,0.1
2015-04-30,North America,0.78,0.63,0.62,0.55,0.38,0.26,0.15
2016-04-12,North America,0.78,0.60,0.65,0.42,0.45,0.3,0.2
2017-04-08,North America,0.88,0.64,0.72,0.53,0.4,0.25,0.18
2018-04-21,North America,0.77,0.73,0.70,0.48,0.52,0.2,0.1
2013-04-28,Eastern Europe,0.80,0.71,0.66,0.50,0.38,0.29,0.19
2014-04-11,Eastern Europe,0.83,0.65,0.64,0.51,0.44,0.27,0.18
2015-04-30,Eastern Europe,0.78,0.73,0.60,0.45,0.52,0.31,0.22
2016-04-12,Eastern Europe,0.76,0.77,0.59,0.55,0.48,0.34,0.26
2017-04-08,Eastern Europe,0.80,0.75,0.66,0.53,0.50,0.39,0.32
2018-04-21,Eastern Europe,0.82,0.78,0.68,0.49,0.46,0.45,0.42
