title,ranking,region,danceability,energy,key
Ideal Song in North America,198.0,North America,0.663,0.920,11
Star Spangled Banner 1,198.0,North America,0.663,0.920,11
Star Spangled Banner 2,198.0,North America,0.663,0.920,11
Star Spangled Banner 3,198.0,North America,0.663,0.920,11
Star Spangled Banner 4,198.0,North America,0.663,0.920,11
Star Spangled Banner 5,198.0,North America,0.663,0.920,11
Ideal Song in Eastern Europe,195.0,Eastern Europe,0.663,0.920,11
CTZK 1,195.0,Eastern Europe,0.663,0.920,11
CTZK 2,195.0,Eastern Europe,0.663,0.920,11
CTZK 3,195.0,Eastern Europe,0.663,0.920,11
CTZK 4,195.0,Eastern Europe,0.663,0.920,11
CTZK 5,195.0,Eastern Europe,0.663,0.920,11
